# Time Tags Distribution
# 2016-02-18 12:52:12
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 1.7675676E-007 ;  6.1400000E+002
 1.7756757E-007 ;  6.0900000E+002
 1.7837838E-007 ;  6.1300000E+002
 1.7918919E-007 ;  6.6100000E+002
 1.8000000E-007 ;  6.0700000E+002
 1.8081081E-007 ;  6.2700000E+002
 1.8162162E-007 ;  6.3300000E+002
 1.8243243E-007 ;  6.9900000E+002
 1.8324324E-007 ;  6.4100000E+002
 1.8405405E-007 ;  6.4300000E+002
 1.8486486E-007 ;  6.8300000E+002
 1.8567568E-007 ;  6.1400000E+002
 1.8648649E-007 ;  6.2900000E+002
 1.8729730E-007 ;  5.8700000E+002
 1.8810811E-007 ;  6.2400000E+002
 1.8891892E-007 ;  5.9500000E+002
 1.8972973E-007 ;  6.2600000E+002
 1.9054054E-007 ;  6.1700000E+002
 1.9135135E-007 ;  6.4900000E+002
 1.9216216E-007 ;  6.7100000E+002
 1.9297297E-007 ;  6.4600000E+002
 1.9378378E-007 ;  6.5000000E+002
 1.9459459E-007 ;  6.9000000E+002
 1.9540541E-007 ;  6.6000000E+002
 1.9621622E-007 ;  6.2500000E+002
 1.9702703E-007 ;  7.2800000E+002
 1.9783784E-007 ;  1.1690000E+003
 1.9864865E-007 ;  2.1290000E+003
 1.9945946E-007 ;  2.8810000E+003
 2.0027027E-007 ;  3.2610000E+003
 2.0108108E-007 ;  3.2360000E+003
 2.0189189E-007 ;  3.0370000E+003
 2.0270270E-007 ;  2.7480000E+003
 2.0351351E-007 ;  2.5140000E+003
 2.0432432E-007 ;  2.2040000E+003
 2.0513514E-007 ;  2.0300000E+003
 2.0594595E-007 ;  1.8070000E+003
 2.0675676E-007 ;  1.6570000E+003
 2.0756757E-007 ;  1.5730000E+003
 2.0837838E-007 ;  1.3590000E+003
 2.0918919E-007 ;  1.3200000E+003
 2.1000000E-007 ;  1.3480000E+003
 2.1081081E-007 ;  1.3090000E+003
 2.1162162E-007 ;  1.3420000E+003
 2.1243243E-007 ;  1.3350000E+003
 2.1324324E-007 ;  1.1850000E+003
 2.1405405E-007 ;  1.1810000E+003
 2.1486486E-007 ;  1.0070000E+003
 2.1567568E-007 ;  9.4400000E+002
 2.1648649E-007 ;  8.0600000E+002
 2.1729730E-007 ;  7.5300000E+002
 2.1810811E-007 ;  7.0600000E+002
 2.1891892E-007 ;  6.7600000E+002
 2.1972973E-007 ;  7.1800000E+002
 2.2054054E-007 ;  7.8900000E+002
 2.2135135E-007 ;  8.8300000E+002
 2.2216216E-007 ;  9.6000000E+002
 2.2297297E-007 ;  9.5200000E+002
 2.2378378E-007 ;  8.5200000E+002
 2.2459459E-007 ;  8.1600000E+002
 2.2540541E-007 ;  7.9000000E+002
 2.2621622E-007 ;  7.8400000E+002
 2.2702703E-007 ;  7.8800000E+002
 2.2783784E-007 ;  6.9000000E+002
 2.2864865E-007 ;  7.7800000E+002
 2.2945946E-007 ;  7.5000000E+002
 2.3027027E-007 ;  6.9300000E+002
 2.3108108E-007 ;  6.8600000E+002
 2.3189189E-007 ;  6.5000000E+002
 2.3270270E-007 ;  6.4100000E+002
 2.3351351E-007 ;  6.4900000E+002
 2.3432432E-007 ;  6.2900000E+002
 2.3513514E-007 ;  6.6000000E+002
 2.3594595E-007 ;  6.2300000E+002
 2.3675676E-007 ;  6.3700000E+002
 2.3756757E-007 ;  6.8100000E+002
 2.3837838E-007 ;  6.4400000E+002
 2.3918919E-007 ;  6.2200000E+002
 2.4000000E-007 ;  6.2700000E+002
 2.4081081E-007 ;  6.0200000E+002
 2.4162162E-007 ;  5.8600000E+002
 2.4243243E-007 ;  5.4900000E+002
 2.4324324E-007 ;  5.8800000E+002
 2.4405405E-007 ;  5.7600000E+002
 2.4486486E-007 ;  5.7600000E+002
 2.4567568E-007 ;  5.9700000E+002
 2.4648649E-007 ;  6.4600000E+002
 2.4729730E-007 ;  6.0500000E+002
 2.4810811E-007 ;  6.3100000E+002
 2.4891892E-007 ;  5.9600000E+002
 2.4972973E-007 ;  6.1400000E+002
 2.5054054E-007 ;  5.8300000E+002
 2.5135135E-007 ;  5.7700000E+002
 2.5216216E-007 ;  6.1400000E+002
 2.5297297E-007 ;  5.8000000E+002
 2.5378378E-007 ;  6.3400000E+002
 2.5459459E-007 ;  6.1600000E+002
 2.5540541E-007 ;  6.3500000E+002
 2.5621622E-007 ;  6.0800000E+002
 2.5702703E-007 ;  6.3600000E+002
 2.5783784E-007 ;  6.5500000E+002
 2.5864865E-007 ;  5.9500000E+002
 2.5945946E-007 ;  5.8800000E+002
 2.6027027E-007 ;  5.4800000E+002
 2.6108108E-007 ;  5.3900000E+002
 2.6189189E-007 ;  5.5600000E+002
 2.6270270E-007 ;  5.6900000E+002
 2.6351351E-007 ;  5.6100000E+002
 2.6432432E-007 ;  6.5200000E+002
 2.6513514E-007 ;  6.1300000E+002
 2.6594595E-007 ;  5.8800000E+002
 2.6675676E-007 ;  6.5600000E+002
 2.6756757E-007 ;  6.0600000E+002
 2.6837838E-007 ;  6.0200000E+002
 2.6918919E-007 ;  5.9100000E+002
 2.7000000E-007 ;  6.1400000E+002
 2.7081081E-007 ;  6.0800000E+002
 2.7162162E-007 ;  5.7400000E+002
 2.7243243E-007 ;  5.5600000E+002
 2.7324324E-007 ;  5.9600000E+002
 2.7405405E-007 ;  6.0000000E+002
 2.7486486E-007 ;  6.1800000E+002
 2.7567568E-007 ;  6.1400000E+002
 2.7648649E-007 ;  6.2400000E+002
 2.7729730E-007 ;  6.2500000E+002
 2.7810811E-007 ;  6.0200000E+002
 2.7891892E-007 ;  5.7500000E+002
 2.7972973E-007 ;  5.9800000E+002
 2.8054054E-007 ;  6.2900000E+002
 2.8135135E-007 ;  5.8600000E+002
 2.8216216E-007 ;  5.5800000E+002
 2.8297297E-007 ;  5.9200000E+002
 2.8378378E-007 ;  6.3600000E+002
 2.8459459E-007 ;  6.1300000E+002
 2.8540541E-007 ;  6.0700000E+002
 2.8621622E-007 ;  6.1800000E+002
 2.8702703E-007 ;  5.8500000E+002
 2.8783784E-007 ;  5.7400000E+002
 2.8864865E-007 ;  6.2600000E+002
 2.8945946E-007 ;  6.0700000E+002
 2.9027027E-007 ;  5.6000000E+002
 2.9108108E-007 ;  5.5800000E+002
 2.9189189E-007 ;  5.8500000E+002
 2.9270270E-007 ;  5.8800000E+002
 2.9351351E-007 ;  6.2100000E+002
 2.9432432E-007 ;  6.0900000E+002
 2.9513514E-007 ;  6.7100000E+002
 2.9594595E-007 ;  6.1500000E+002
 2.9675676E-007 ;  5.7100000E+002
 2.9756757E-007 ;  5.7900000E+002
 2.9837838E-007 ;  5.5500000E+002
 2.9918919E-007 ;  5.2700000E+002
 3.0000000E-007 ;  5.6400000E+002
 3.0081081E-007 ;  6.2300000E+002
 3.0162162E-007 ;  5.9400000E+002
 3.0243243E-007 ;  5.8000000E+002
 3.0324324E-007 ;  6.7500000E+002
 3.0405405E-007 ;  5.8400000E+002
 3.0486486E-007 ;  5.8700000E+002
 3.0567568E-007 ;  6.0300000E+002
 3.0648649E-007 ;  5.6100000E+002
 3.0729730E-007 ;  6.0800000E+002
 3.0810811E-007 ;  5.8800000E+002
 3.0891892E-007 ;  5.7800000E+002
 3.0972973E-007 ;  5.5700000E+002
 3.1054054E-007 ;  5.9700000E+002
 3.1135135E-007 ;  6.0200000E+002
 3.1216216E-007 ;  6.2500000E+002
 3.1297297E-007 ;  6.2400000E+002
 3.1378378E-007 ;  5.7900000E+002
 3.1459459E-007 ;  6.0500000E+002
 3.1540541E-007 ;  5.8300000E+002
 3.1621622E-007 ;  5.7700000E+002
 3.1702703E-007 ;  5.4400000E+002
 3.1783784E-007 ;  5.6100000E+002
 3.1864865E-007 ;  5.4000000E+002
 3.1945946E-007 ;  5.7900000E+002
 3.2027027E-007 ;  6.1100000E+002
 3.2108108E-007 ;  6.6300000E+002
 3.2189189E-007 ;  8.5700000E+002
 3.2270270E-007 ;  9.0400000E+002
 3.2351351E-007 ;  9.1500000E+002
 3.2432432E-007 ;  8.5400000E+002
 3.2513514E-007 ;  8.0200000E+002
 3.2594595E-007 ;  8.3800000E+002
 3.2675676E-007 ;  7.5100000E+002
 3.2756757E-007 ;  7.1700000E+002
 3.2837838E-007 ;  7.3800000E+002
 3.2918919E-007 ;  7.5900000E+002
 3.3000000E-007 ;  6.9100000E+002
 3.3081081E-007 ;  6.8800000E+002
 3.3162162E-007 ;  7.1900000E+002
 3.3243243E-007 ;  6.3600000E+002
 3.3324324E-007 ;  6.9100000E+002
 3.3405405E-007 ;  6.0100000E+002
 3.3486486E-007 ;  6.7200000E+002
 3.3567568E-007 ;  5.9900000E+002
 3.3648649E-007 ;  6.4100000E+002
 3.3729730E-007 ;  5.9200000E+002
 3.3810811E-007 ;  6.4200000E+002
 3.3891892E-007 ;  6.3800000E+002
 3.3972973E-007 ;  6.3200000E+002
 3.4054054E-007 ;  5.6800000E+002
 3.4135135E-007 ;  5.9300000E+002
 3.4216216E-007 ;  5.5200000E+002
 3.4297297E-007 ;  5.6900000E+002
 3.4378378E-007 ;  5.4800000E+002
 3.4459459E-007 ;  5.5100000E+002
 3.4540541E-007 ;  5.7000000E+002
 3.4621622E-007 ;  6.1700000E+002
 3.4702703E-007 ;  6.2100000E+002
 3.4783784E-007 ;  6.1400000E+002
 3.4864865E-007 ;  6.0600000E+002
 3.4945946E-007 ;  6.1400000E+002
 3.5027027E-007 ;  6.2500000E+002
 3.5108108E-007 ;  5.6400000E+002
 3.5189189E-007 ;  5.4300000E+002
 3.5270270E-007 ;  5.6700000E+002
 3.5351351E-007 ;  5.0000000E+002
 3.5432432E-007 ;  5.8800000E+002
 3.5513514E-007 ;  5.1800000E+002
 3.5594595E-007 ;  5.9400000E+002
 3.5675676E-007 ;  5.7200000E+002
 3.5756757E-007 ;  5.7000000E+002
 3.5837838E-007 ;  5.8900000E+002
 3.5918919E-007 ;  5.6900000E+002
 3.6000000E-007 ;  5.8600000E+002
 3.6081081E-007 ;  5.5900000E+002
 3.6162162E-007 ;  5.3200000E+002
 3.6243243E-007 ;  5.3600000E+002
